Company Name,Address,About,Website
Mr. Nishant Bhatia,"14 F Block Market, Phase 1, Ashok Vihar, Delhi","Star Consultancy Services is a professionally managed firm that has been rendering services of a manpower recruiter to small, mid and large scale companies around Delhi. Ours is a group of qualified individuals, who work in coordination with clients and short candidates based on their provided recruitment details.",
Mr. Pradeep Yadav,"D-100, 3rd Floor Shadipur, Ranjit Nagar, Delhi","Based in Delhi (India), A P Placement & Services has become a top name in the placement industry. Working in the industry since 2016, we have helped many candidates in getting placed in MNC’s. We organize various seminars and workshops to let the candidates better understand the interview cracking criteria and all the aspects of making a good reputation at the time of interview. Various candidates in Delhi have taken advantage of our overseas placement/ recruitment services at the most affordable charges.",
Anurag Gupta,"33 & 33A, Rama Road, Industrial Area, Near Kirti Nagar Metro Station, Delhi","A right Recruitment Agency can be a one stop solution for all your recruitment needs. On PlacementIndia.Com you can find Recruitment Agency in India, Leading Job Consultancy in India operating from metro cities like Delhi, Kolkata, Chennai, Bangalore and Mumbai can be contacted through this job portal. Apart from this here you can also find the details of Recruitment Agencies based in other towns and cities of India. Contact here for Top Recruitment Agency in India, and get the best solution for all your recruitment needs. The recruitment agencies registered on this portal have been assisting many corporate companies, SMB, SME and business houses for their hiring requirements.",
Tina,"U-74, 2nd Floor, Office No.202, Tirupati Complex, Near Laxmi Nagar Metro Station, Gate No.2, Delhi","Total Job Solutions is a recruitment consultancy firm based in New Delhi (India). We work towards the betterment of the other companies by providing them with the deserving candidates. We are reckoned as a leading recruiter in the placement industry and recruit the professionals for the industries of technical, banking, automobile, tour & travel, retail, and export/import/IT/ITES.

Our recruiters recruit the appropriate candidates according to their skills, expertise in the field, and work experience. Contact us today for recruitment consultancy.",
Ms. Nitya,"10/11/12/12A 7th Floor City Vista, Opposite Victorious School, Karol Bagh, Delhi","Without recruiting the righteous staff for itself, it becomes hard for a company/firm to excel in its respective industry. A diligent workforce plays a key role in making the company better. You can contact us to recruit the workforce. We are based in Pune / New Delhi (India) and are backed by the team of recruitment experts.

They understand the recruitment criteria that meet that standard of the company/firm. Thus, the candidates are interviewed on the telephone as well as in person. We have recruited the candidates for different firms all over New Delhi.",
Aruna Tanwar,"A3/264,  Posangipur, Near Rich Harvest School, Janakpuri, Delhi","In order to fulfill the organizational goals, a company needs to hire efficient and experienced staff. Finding the right candidates for different job profiles has become a daunting task in today's age. However, you can make your work easy by availing our services now At Maxvision Placement Services (MPS), we are engaged in offering excellent recruitment services to the companies across New Delhi (India). As recruitment consultants, we have an extensive database of job seekers for different profiles and positions. Thus, we can help you in recruiting candidates who are efficient and well-versed with the job they are assigned. So, contact us now.",
Mr. Ankush Gulati,"F-10 First Floor Commercial Complex Mansarovar Garden, Delhi","Permanent staffing is assuming great importance in the human resource strategy of every company today. With our accurate and precise methodology, we come-in handy for the companies in locating the appropriate match for the positions. Our focussed, cost and time efficient recruitment solutions certainly make the companies’ task much easier to handle. We take great efforts to make sure we arrive at the right candidate all the time. A study of the requirement and the possible sources is done before short listing the candidates..

We have an excellent database of resumes, & also have access to all the leading job portals in the market. We can fill any position in a short span of time with profiles which match the requirement. We aim to lay a foundation towards building a long term relationship between the Employer and the Employee. Every effort is made to make sure the Candidate fits the required profile perfectly. We offer customized recruitment processes, based on the client's requirements. We cater to both technical & non technical requirements and we have teams in place to handle entry level, mid management & senior management profiles..",
Amritansh Nijhawan,"Rajinder Nagar, Delhi","Since incorporation in 2016, pinnacle jobs india has been serving executive search requirements of small, mid and large scale companies across india. We are based in delhi, india and we can be contacted for finding the right skill-set for junior, mid and senior level job positions.
a team of recruitment consultants works in coordination with clients and handles the entire recruitment process right from shortlisting candidates to their on-boarding. So, share your requirements with us and avail the benefits of simplified solutions.",
Najaf Ahmad,"R-207, Street No. 5, NFC, Delhi","1. Recruitment for IT, Non-IT, BPO & Other Industries 2. Training & Development 3. HR Policy Formulation 4. Payroll Management 5. Performance Management 6. Contractual Staffing",
Sumit,"M-90, Saket, Delhi","Dpsr Consultancy Solutions is a premier name in the placement sector of Uttar Pradesh. The company operates from Uttar Pradesh and we provide placement consultancy to job seekers - fresher and experienced professionals. A team of placement consultants is entrusted to provide regular updates concerning on-going placement drives, walk-ins, and interviews. Not just this, we also provide tips and guidance to secure a job.",https://www.dpsrconsultancysolutions.co.in
Pooja Gautam,"9/985, Prem Street, Gandhi Nagar Delhi-110031",Waldia securities had the privilege of providing all category of workers for five star hotels and have provided all banquet and catering staff.,
Md Sarwar Alam,"110025, Okhla, Delhi","Recruitment Services, Staffing Services, Manpower Servic",
Vinod Kain,"10 C Gopala Tower, Rajendra Place 110008, Delhi","Recruitment Services, Staffing Services, Payroll Outsourcin",
Amandeep Bhatt,", South Delhi","Aman Manpower Solutions, located in South Delhi, is a premier recruitment agency dedicated to connecting businesses with top talent. We specialize in various industries, offering tailored staffing solutions to meet specific client needs. Our experienced team ensures a seamless recruitment process, helping companies thrive by finding the right candidates efficiently and effectively.",https://www.amanmanpowersolutions.co.in
Aditya Shukla,", Central Delhi","Futurecarve Career Solutions, located in Central Delhi, offers expert recruitment agency services to connect businesses with top talent. Specializing in diverse industries, our dedicated team employs innovative strategies to streamline the hiring process. We prioritize client satisfaction and candidate success, ensuring a perfect match. Partner with us for your recruitment needs today!",https://www.futurecarvecareer.in
VISHAL SRIVASTAVA,", Shalimar Bagh, Delhi","NEXT Move India is a premier recruitment agency located in Central Delhi, Delhi, providing top-notch services to companies looking to hire qualified candidates. With a team of experienced professionals, they offer tailored recruitment solutions to meet the specific needs of their clients. Trust NXT Move India for all your recruitment needs.",https://www.nextmoveindia.in
Jofin Mathew,"B-508, Som Dutt Chamber 1,, Bhikaji Cama Place, Delhi","Fmcg Recruitment, Recruitment Outsourcing, Civil Recruitmen",
Vinod Kain,"10 C Gopala Tower, Rajendra Place 110008, Delhi","Recruitment Services, Staffing Services, Payroll Outsourcin",
Jofin Mathew,"B-508, Som Dutt Chamber 1,, Bhikaji Cama Place, Delhi","Fmcg Recruitment, Recruitment Outsourcing, Civil Recruitmen",
Mr. Shrish Benjwal,"320, Ansal Chambers- 2, 3rd Floor, Bhikaji Cama Place, Delhi",Mass Management Services Pvt. Ltd. is Good Leading Placement Consultancy Company. We are Provide Placement in all Sectors.,https://www.massmanagement.net
Mr. Sylvester Kujur,"A-7, Bapu Park, Near Dda Park, Kumhar Gali, Kotla Mubarakpur, South Delhi","Hiring Agencies, Recruitment Company, Find A Recruitment Agency, Placement Consultant, Placement Solution, Permamnent Temporary Staffing Services",https://www.tribalsplacementservice.com
Yadunath Bhide,"E- 63 Vasant Marg Vasant Vihar, Delhi","Recruitment Companies, Recruitment Consultants, Placement Consulancy, Placement Consultant, Placement Service Provider, Domestic Placement Consulancy",http://www.dolphinplacements.com
Ajay Kumar,"Toolify Pvt Ltd, Nehru Nagar, Delhi",Toolify Private limited is complete solution for all the requirements Related to IT & Non IT,https://www.toolify.in
,", Nehru Place, Delhi",Our vast manpower data base and company data base provides a solid foundation for best Recruitment Agency in India. Our genius HR consultants and man power management techniques helps us to prepare effective manpower for the industry. We charge very competitive prices for our services.,https://www.mokshahr.net
Kanika,"B47/2,4TH floor, corner market, malviya nagar, Delhi","Job Recruitment Agency, Recruitment Company, Job Employment Agency, Placement Consultant, Permanent Temporary Staffing Consultants, Freelancing Company, Freelancing Services.",http://www.worldoverseasimmigration.com
ANKITA,"74FF, Block No-4, Subhash Nagar, Delhi","Job Agencies, Recruitment Consultants, Job Recruitment Agency, Employment Agent, Domestic Placement Recruitment, Domestic Placement Company, Domestic Placement Services, Freelancing Consultancy",
Mr. Ashok Kumar,"123, Indira Vihar, Mukherjee Nagar, Delhi","International Recruitment Agencies, Find A Recruitment Agency, Online Recruitment Agencies, Placement Service, Permanent Temporary Staffing, Permanent Temporary Staffing Company",https://www.shivayhr.com
Ms. Leena Gupta,"Wz-442B Gali No. 21 Sadh Nagar Part 2 Palam Colony Near Vishal Mega Mart  New Delhi 110045, North Delhi","Job Agencies, Recruitment Sites, Job Employment Agency, Jobs Agencies, Domestic Placement Recruitment, Permanent Temporary Staffing Services",
Mr. Mohammad Asif,"D-7/287, Sector 6, Rohini, Delhi","We at Right Source Management equipped to provide our client complete recruitment process at one place. This process includes recruitment planning, selecting the right profile, performing a pre-screening of candidature, resume analysis, setting up interviews & coordinating them, salary negotiation, sending the job offers, and taking on-board the offered candidate.",
The Manager,"306, 3rd Floor, DDA Bldg5 Dist. Centre, Janakpuri, Delhi","We undertake hiring for all job positions in the Operators & Drivers sector as we have a large databank of candidate profiles with the required qualifications and skills. The company is in contact with all tech-savvy candidates, suitable for jobs in different branches of Dozer, Shovel, Grader, Crane, Forklift, Loader, Dumper, Trailer, Mixers, Finishers, Heavy Drivers, Light Drivers.",
Deep,", Vasant Kunj, Delhi","Having its base in Kolkata, West Bengal, India, RVS Global Education Pvt. Ltd is among the top leaders in the Permanent Temporary Staffing and serves the needs of the clients. Our team of Placement consultants is cautiously examining the candidates determined on their interests, ability, character, etc. & assisting in placing them in the firm. We confirm that there is a correct match in the mid of the candidate and the association where placement is provided. According to our capacities and experience, we provide the right placement services. If you wish to contact our placement consultant professionals, you can call us for more information.",
Ms. Laxmi Singh,"B-28, Gd Colony, Mayur Vihar, Phase - 3, New Delhi - 110096","Executive Search, Recruitment Consultant, Manpower Recruitmen",
Ruchi,"Wz-261, G-1block, Near Axis Bank, Uttam Nagar,, Delhi","We provide the Jobs in Sales, Marketing, Product Management, Brand Management, Market Research, Advertising, Hospitality,Accounts & Finance (chartered Accountants, Icwa, Company Secretaries, Chartered Financial Analyst, Accountants, Commercial) Etc.we Provide the Job also Out of India.",
Mr. Abhinav Kumar,"B-57, New Krishna Park, Janakpuri, Delhi","Recruitment Consultants, Job Consultants, Abroad Job Consultant",
,"Kalkaji, Delhi","Recruitment Consultancy, Placement Consultancy, Recruitment Servic",
Nirmal Consultants,"H-2, 312 3rd floor northex apra, netaji subhash place, Delhi","Recruitment Consultant, Placement Agencies, Job Employment Agency, Domestic Placement Services, Permanent Temporary Staffing Company, Freelancing Consultants",
Bejoy Thomas,"Maharani Bagh, Delhi",Nursing Recruitment for Staff Nurses in Delh,
Mr. Pravesh Gautam,South Delhi,"International Recruitment Agencies, International Recruitment Agency, Professional Recruitment Consultants, Domestic Placement Services, Freelancing Company.",
Shailesh Singhal,"04/17 Ground Floor, West Patel Nagar, Patel Nagar West, Delhi",Recruitment for Doctors and Nurse,
Mr. Gourav Pathela,"#1e, Jia Sarai, Hauz Khas, Delhi","Recruitment Service, Manpower Consultancy, Placement Service",
G. S. Kapoor,"Ru-355, Pitampura, Near Powerhouse, Delhi","Job Recruitment Agency, Recruitment Sites, Placement Consulancy, Placement Consultant, Domestic Placement Comapny, Freelancing Service Provider",
Wasim Akram Khan,", Subhash Nagar, Delhi","Enbit International is a premier name in the placement sector of Rajasthan. The company operates from Rajasthan and we provide placement consultancy to job seekers - fresher and experienced professionals. A team of placement consultants is entrusted to provide regular updates concerning on-going placement drives, walk-ins, and interviews. Not just this, we also provide tips and guidance to secure a job.",https://www.passgointernational.in
Sonipra,"Laxminagar, Delhi, Laxmi Nagar","It Recruitment Service, Staffing Services, Digital Marketing Solution Service",
Satish Kumar,"Netaji Subhash Place, Delhi","Recruitment Agencies, Employment Agencies, Recruitment Companies, Employment Recruiters, Job Recruitment Agency, Employment Agent, Job Recruiting Websites, Freelancing Consultants",
Mr. Rohit Singh Rawat,"School Block, Shakarpur, Delhi",This is a New Delhi-based placement firm. This nascent company serves as a placement consultant in the city and assists job seekers to give a fresh kickstart to their professional lives. Fresher candidates and working professionals can get in touch with us for finding a new job opportunity in and around New Delhi. You simply require registering with us and sharing the information like academic qualification and past employment details.,
Shinu Bahl,"Mayurvihar, Mayur Vihar, Delhi",Job Recruitment Servic,
Mr.. Ashok Gupta,"A-1/7, Sector - 3, Rohini, Delhi","» You do not have make monthlyyearly contract
» Minimum 2 weeks contract is required
» Even you can hire an employee for 2 hours per day
» DayNight shifts can be provided
» You can also visit to our workplace in India
» We can Start work with in 2 days
» You will get daily activity report at the end of the day with the specifications (What is done, What is left, What is    Pending, Any Urgent work is done and what will be done by tommorrow.)",
Ankit Srivastava,", Delhi","Recruitment Agencies, Recruitment Companies, Employment Services, Find A Recruitment Agency, Job Recruitment & Employment Agency, Permanent Temporary Staffing Consultancy, Domestic Placement Service Provider",
Ayesha,"Connaught Place, Delhi",Healthcare Recruitment Servic,
Sahil Soni,"Plot No. 103, Street No. 2, Ashok Mahulla Bhuto Wali Gali, Nagloi, Nangloi, Delhi",Banks Jobs Consultanc,
Neha Thakur,", Pitampura, Delhi","Recruitment Consultant, Find A Recruitment Agency, Job Recruitment & Employment Agency, Professional Recruitment Consultants, Online Recruitment Agencies, Freelancing Consultants",https://www.thetalentsearchers.co.in
Mr. Ajay Rathi,"R102 Laxmi Park, Shakarpur, Delhi",Recruitment Consultan,
MR.. T K Malhotra,"Block C, Shop No 8, Behind Qutub Hottel, Near Iit, Qutab Institutional Area,, Delhi","Recruitment Consultant, Placement Agencie",
Mrs. Pinki Mehra,"147, Somdutt Chamber-2, Bhikaji Cama Place, New Delhi-110066","Recruitment Service, Manpower Consultan",
Mr. Rahul Bhardwaj,"Nangloi Chowk, Near Nangloi Metro Station, Main Nangloi, Delhi","Recruitment Agency, Recruitment Websites, Recruitment Consultant, Job Recruitment & Employment Agency, Job Recruiting Websites",
Ms. Anurekha Sinha,"Lajpat Nagar, New Delhi","Jaguar consultancy services is human resource consultancy company specializing in the recruitment of temporary and permanent staff for executive, middle, and top level management positions in ites, fmcg, pharmaceuticals, travel, banking, real estate, telecom, retail, health care, hotels and education. 

for more information please visit our website : www.jcsdelhi.com

we help you in hiring the best talent for your firm and we give you assurance of excellent quality service.",
Mr. Vijay Khanna,"Jain Nagar, Sector 38, Rohini, Delhi","If you are looking for a job or a job change, turn to our placement consultancy services to live your dream of having a good job. At Job Point Placement Service, we render placement consultancy to fresher and experienced professionals. We operate from New Delhi, India and provide regular job updates concerning on-going interviews, walk-ins and placement drives. Being a responsible placement consultant, we mediate the gap between job seekers and recruiters. So, share your profile details including experience and interests, we assure to work around them.",
Pooja Kumari,"189C, Utsav Vihar, Karala, Delhi","International Recruitment Agencies, Employment Services, Placement Service Provider, Domestic Placement Recruitment, Permanent Temporary Staffing Consultants, Freelancing Service Provider",
Mr. Aprana,"F-128, 1st Floor, I T & T Building Mohammadpur,, Bikhaji Cama Place, Delhi",House Keeping Servic,
Mr. Mohammed Hassan,"305, Iiird Floor Vasant Plaza Opp Subway , Munirka , New Delhi","Recruitment Consultancy, Recruitment Service",
Hina Bhutani,"208, 2nd Floor, Pragati Tower, Rajendra Place - 110008, Delhi","Recruitment Agency, Placement Agencies, Find A Recruitment Agency, Job Recruiting Websites, Freelancing Services",
Mr. Kushank,"HR Consultant, Delhi",Recruitment Servic,
Ravjeet,"E-20/157-158,rohini sect-3, Delhi","Hiring Agencies, Job Recruitment Agency, Employment Agent, Placement Consultancy, Domestic Placement Recruitment, Permanent Temporary Staffing Services, Freelancing Service Provider",
Brijesh Kumar,"Dwarka Sector 15, Delhi","Recruitment Consultants, Recruitment Sites, Placement Company, Domestic Placement Consultancy, Permanent Temporary Staffing Company, Freelancing Services",
Mr. Gajendra Singh,"F Block Aali Vihar Near Sarita Vihar., Delhi","House Keeping Staff, Industrial Staff, Security Guard, Manpower Service",
Ravi Saini,"H-32/65, 1st Floor, Sector-3, Rohini, Delhi",Recruitments Servic,
Adriyana,"B-2/5, Lower Ground Floor
Vasant Vihar, Delhi",Adriyana solutions is a delhi based professional executive search firm  helps in offering comprehensive recruiting and assessment solutions for high level top executive job. Our consultants bring a wealth of experience to help our clients find and retain top leadership talent. We work closely with clients and candidates to create the perfect match through superior methods and a commitment to our profession.,
Monika Rohilla,"Plot No. 2 Tehsil Road, Najafgarh, Delhi","Recruitment Agency, Placement Service, Permanent Temporary Staffing Consultancy, Domestic Placement Services, Freelancing Consultancy",
Shilpa,"747, 1st floor Rani Bagh,delhi-110034",Overseas Recruitmen,
Ankit,"Rz- C1 Lane No 4, Naraina, Delhi","Candidates can enjoy the immense flexibility of working at home as well. So, job seekers as well as employers can contact us for availing this services and rest assured, because well provide nothing less than the best.",
Neha  Sharma,"A-1, Aliganj, Kotla Mubarakpur, Delhi","We are counted among one of the consistent placement companies in Delhi, well-known for offering excellent Placement Services to the candidates. We offer the jobseekers with the best job options that fulfill their requirement. Our experienced professionals understand the candidatesâ€™ career needs and accordingly get them placed at suitable positions.

We also arrange screenings and interviews for the candidates. We have also maintained an updated database to benefit both recruiters and jobseekers. If you require any guidance regarding placement, then you can avail our hassle free services.",
Raman,"E-15/97,Rohini Sector-8, Rohini Sector 8, Delhi","Recruitment Consultants, Job Employment Agency,  Online Recruitment Agencies, Placement Company, Placement Solution,",
Mr. Chandan Kumar,"E-126, Yadav Nagar, Libaspur, Libas Pur, Delhi","Job Recruitment Agencies, Job Employment Agency, Find A Recruitment Agency, Jobs Recruitment Service, Placement Consultant, Domestic Placement Company.",
Sonipra,"Laxminagar, Delhi, Laxmi Nagar","It Recruitment Service, Staffing Services, Digital Marketing Solution Service",
Mr. Gotarget,"Ranjeet Nagar, New Delhi 110008, Ranjit Nagar",Recruitment Consultan,
Ms. Swati,"Rajouri Garden,Delhi","Executive Search Services, HR Consultancy, Staffing Service",
Mr. Amit Gupta,"Paschim Vihar, New Delhi - 110063 (india)","Recruitment Consultants, Employment Consultants, Recruitment Agenc",
